Artist|Song|Lyrics
Eminem|1-833-2GET-REV (REVIVAL Voicemail)|  [Automated Voice] Thank you for your interest in Revival, the number one slightly invasive treatment for Atrox Rithimis. You only get one shot to beat AR. Don't miss your chance with Revival. Please hold to speak with a patient care representative.  While you wait, here's some additional information: You should discuss the potential benefits and risks of Revival with your doctor or clergyman. Revival is a non-injectable medication given through the ear canal and is not intended for anal use. Revival is a non-narcotic medication intended for daily use that can be taken with or without food.  Tell your doctor about all health conditions, including if you:  Have a history of confusion or poor judgment Are allergic to tympanic stimulators Are pregnant or nursing Revival does not cause serious side effects including:  Fleem's syndrome Mild to disfiguring acne Brain problems Male pattern baldness, most commonly in women Rage Decreased appetite Increased appetite Seasonal affective disorder Loose gums Gluten sensitivity Toothpain Tight glutes General feeling of head trauma Softening of fingernails Dramatically increased hair growth Sudden nut allergies Ringing in your mouth and Light-leggedness Thank you for continuing to hold. We give you some serious fucking credit for sticking with us. Tell your doctor right away if you have any of the following symptoms:  Fever, sweats or chills Muscle ache Cough Shortness of breath Blood and phlegm Weight loss Warm, red, or painful skin or sores on your body Diarrhea or stomach pain Burning when you urinate Chills when you urinate Urinating more often than normal Feeling very tired or night sleeping Revival does not cause you side effects but if you have them you should definitely seek medical attention.  
Eminem|1997 Freestyle Live at Wetlands, NYC|  [Verse 1] Everybody, duck down, all you hear is the sound Of Slim Shady spittin' rounds at the Lyricist Lounge What year is this now? I don't know, I forgot All I know is that I'd die for pot, make the cypher hot Smoke weed and fuck up my life a lot Give me the money now, bitch Did you want to see your wife or not? 'Fore I stab her wit' this knife I got I got a sci-fi plot like a science fiction flick that I'm a hit you wit' I got the Outsidaz up in this bitch Peace to Thirstin' Howl, A.L. and Wordsworth My mother smoked crack, I had a premature birth I'm just a nerd cursed wit' badly disturbed nerves Who wanna step to this and get served first? Ninety-nine percent of aliens prefer Earth So I'm here to rule the planet, startin' wit' your turf I hid a secret message inside of a word search Wit' smeared letters, runnin' together in blurred spurts Rappers can't fuck wit' me, it hurts worth When they get abolished, polyps'll murk worse Wrote a secret message inside of a word search Wit' smeared letters, runnin' together in blurred spurts Rappers can't fuck wit' me, hollerin', 'Nurse, nurse' You said this shot would numb it, bitch, it just hurts worse Rappers can't fuck wit' the way that I spit it, lyrical lit it Now you did it when I committed, get his rhymes out here Off the top of the dome wit' a popular poem Fuck a team, I can stop you alone Rappers don't understand it  
Eminem|1997 Rap Olympics|"  [RAP BATTLE 1] I'ma tell you this for your own benefit Your shit was dope as hell Especially when you wrote 90 percent of it What you need to do is practice on your freestyles 'Fore you come up missin', like Snoop Dogg's police files This type of shit? Bitch, be sure that I'm spittin' Be hittin', you gonna pray to God this shit was written But it wasn't, I'll kill a dozen rappers when I'm buzzin' Guzzlin', beat your ass like a jealous husband Now who's your boy? Bitch, you about to suffer and see north When you go in a coma longer than Vladimir Konstantinov Cut the damn machine off Get a clean cloth, and wipe this bloody video screen off  [RAP BATTLE 2] I'm movin' in for the kill, plus I got the trap set I can tell you're wack as fuck, and I ain't even hear you rap yet Look at you thinkin', ""I'm about to whip his ass ‘Cause I'ma do some written shit, plus I get to go last."" Well, guess what? Even if I go first, it's no worse My shit's still gon' demolish yo' verse I'm 'bout to slice you like a Ginsu And anything you say can and will be used against you In a court of law, I'm short and raw Take your fuckin' shit and cut it off Yo, you wanna be a dope emcee? Look, don't get mad and start takin' your period out on me  [RAP BATTLE 3] You wanna represent on the microphone, but you rap sleazily I ain't about to battle this fake ass Eazy-E There ain't no way I'ma do this bullshit I don't give a fuck, I'm loaded up with a full clip Time of the month? You couldn't get the tape of the day Take him away, I rip him like a paper mache I've heard you rap before, you ain't about shit This whole battle was mismatched, like your outfit Try to battle me and get your mouth split You sold out, like Ticketmaster Outlet Ha ha, I bust and I crush, I don't give a fuck Ain't no way that you can fuck with us I'm givin' back with pimp shit I laminate that ass in a badge and wear it at the Rap Olympics  [RAP BATTLE 4] Blah-badee-blah-da-blah-blah—stop babblin'! You so fuckin' wack I'ma walk away while you battlin' Fuck that, I'm on a brand new solo mission To make sure that Wendy Day kicks your ass Out of the rap coalition I throw a switch at an execution With an overdose of devotion Don't talk back, I'm the dope, bitch So who you sound like on the mic? There was only one 2Pac, your thug style is just one big psyche Take a big hike, bitch, you can't catch me Your best rhymes still ain't shit, like a patsy What the fuck you gonna do? I'll battle anybody in your crew, and I don't give a fuck I slaughter boys, especially wack-ass emcees That will wear a fake-ass corduroy  [RAP BATTLE 5] I'm 'bout to make this mic short circuit This beat is wack as fuck—this shit fits you perfect! I got so many ways to diss you that I'm playful with you I'll let a razor slit you, 'til they have to staple-stitch you And everybody in this fuckin' place'll miss you If you try to turn my facial tissue to a racial issue Nobody's hearin' you, you're a wack liar Damn! All your white jokes just backfired ‘Cause, bitch, you barkin' up the wrong tree Now go tell all your boys that you was beat by a honkey I don't give a fuck, I'll kill ya Bitch, you better recognize me, like a look familiar Anything you say, I'ma kill ya Grill ya, when I fuckin' drill ya I'm Marsh, but you're the one that's mellow  "
Eminem|1999|"  [Intro] Hi kids, do you like Kim's bullshit? (No!) Wanna see me stick her fucking eyeballs right in to my anus?  [Verse 1] I got a fucking time traveling machine to go back all to this And see all the piss that she gave me, bitch She made me fall on my ass The walls are caving in and I gotta go ham on this bitch Like, woah, so we never fell in love so I didn't have to Go through that shit no more It's like a nugget, I'm hugging these sluts That are bothering this fucking chick when I murder And spit on the beat like the drugs I was taking Just a bit of it And stop slurping the blood off her face, or I'll murder you too with a bag full of mace and if Kim comes to my house and says ""Wanna get back together?"" And I say ""No, get out before I [slit your throat] and splatter the blood on this sweater!"" Blue eyes, red eyes, green eyes, bloody eyes Hi Mom, you're back again, rock climbing my dick to see how famous my fucking life is?  [Hook x2] 1980, still feeling shady, 1983, bitch never leave me 1987, met this bitch in heaven, 1999, my life was very deprived I said hey, do you want me? I'm still feeling kinda shady 1999, we got 3 babies, 1999, will you ever leave me? Because back then, I was kind of shady  [Verse 2] Ring around the rosie, pocket full of posie Kim, Kim, be shady like me, I'm trying for the 4th Stop being a bitch, please, walking across the highway Playing Chicken, while brains splatter all over the road like ""ricken, ricken"", my phone's dead, now how can I call the bitch? I'll use the payphone, this bitch is calling my dead phone, she won't leave me alone Spent 75 cents on her, and she didn't answer Now I'll come to her house and [slaughter her ancesters] Boo! I'm a ghost, you happy to see me? I'm taking your soul Well shit, you don't believe me? Boom, I did it, do you believe me now? Shit whatever, I'm the king so hand me the crown  [Hook x2]  [Outro] 1999, the slut's pussy is so dry, I said 1999, the slut's pussy is so dry, no other faggot can control my life  "
Eminem|2012 Something From Nothing: Art of Rap Freestyle|"  How the fuck he got an Oscar Passed out in his red Mazda With his fucking head in his pasta In the parking lot of K-Mart plaza Across from the Red Lobster Looking like the Loch Ness Monster Dressed like a cross-dressed mobster Talk is cheap, it costs less to gossip I'll probably be a lot less hostile If you snots kept your schnozzes out the air holes You'll get fucked in all seven holes Ass, mouth, pussy yeah, both ears and ha yes nostrils At the OzzFest with Nas Bumping Das EFX in a wrecked up Datsun And dropped two extra strength Watson Vicodin out my pocket They cost less I'm a hot mess Cause I tripped and got my head stuck In a wasps nest in the process, awesome Drunk as fuck, one sock Pulling my boxers up with boxing gloves But I keep dropping my fucking binoculars Got two fucking Hydroxycuts And four oxi’s stuck in my esophogus These three lesbian little stocky sluts Thought I swallowed two hockey pucks Started screaming ""serves you right you cocky fuck That's what you get for mocking us Ain't as cool as you thought you was"" Bitch all I did when I walked up was have my dick in a sock Said it was a sock puppet So no strings attached You can all suck it Chicka get it, ah fuck it Shit’s bout to get as hairy as motherfucking Chewbaca's nuts Cocksuckas  "
Eminem|25 to Life|  [Produced by DJ Khalil & Danny Keyz]  [Hook] Too late for the other side Caught in a chase, 25 to life Too late for the other side Caught in a chase, 25 to life Too late (I can't keep chasing 'em I'm taking my life back) Caught in a chase, 25 to life  [Verse 1] I don't think she understands the sacrifices that I've made Maybe if this bitch had acted right I woulda stayed But I've already wasted over half my life, I woulda laid Down and died for you, I no longer cry for you, no more pain Bitch, you took me for granted Took my heart and ran it straight into the planet Into the dirt, I can no longer stand it Now my respect, I demand it I'ma take control of this relationship, command it And I'ma be the boss of you now, goddamn it And what I mean is that I will no longer let you control me So you better hear me out, this much you owe me I gave up my life for you, totally devoted to you I have stayed Faithful all the way, this is how I fuckin' get repaid? Look at how I dress, fuckin' baggy sweats, go to work a mess Always in a rush to get back to you, I ain't heard you yet Not even once say you appreciate me, I deserve respect I've done my best to give you nothin' less than perfectness And I know that if I end this I'll no longer have nothin' left But you keep treatin' me like a staircase: it's time to fuckin' step And I won't be comin' back, so don't hold your fuckin' breath You know what you've done, no need to go in depth I told you you'd be sorry if I fuckin' left I laughed while you wept, how's it feel now? Yeah, funny, ain't it? You neglected me Did me a favor, though, my spirit free you've set But a special place for you in my heart I have kept It's unfortunate, but it's…  [Hook] Too late for the other side Caught in a chase, 25 to life (Can't take no more) Too late for the other side Caught in a chase, 25 to life  [Verse 2] I feel like when I bend over backwards for you, all you do is laugh ‘Cause that ain't good enough You expect me to fold myself in half 'til I snap Don't think I'm loyal, all I do is rap How can I moonlight on the side? I have no life outside of that Don't I give you enough of my time? You don't think so, do you? Jealous when I spend time with the girls Why I'm married to you still? Man, I don't know But tonight I'm serving you with papers I'm divorcing you – go marry someone else and make 'em famous! And take away their freedom like you did to me Treat 'em like you don't need 'em and they ain't worthy of you Feed 'em the same shit that you made me eat I'm moving on, forget you Oh, now I'm special? I ain't feel special when I was with you All I ever felt was this helplessness Imprisoned by a selfish bitch Chew me up and spit me out, I fell for this So many times it's ridiculous And still I stick with this, I'm sick of this But in my sickness and addiction you're addictive as they get Evil as they come, vindictive as they make 'em My friends keep askin' me why I can't just walk away from I'm addicted to the pain, the stress, the drama I'm drawn to shit, I guess I'm a Mess, cursed and blessed, but this time I Ain't changin' my mind, I'm climbin' out this abyss You're screamin' as I walk out that I'll be missed But when you spoke of people Who meant the most to you, you left me off your list Fuck you, Hip-Hop! I'm leavin' you My life sentence is served, bitch, and it's just…  [Hook] Too late for the other side Caught in a chase 25 to life (I'm gone, man) Too late for the other side Caught in a chase 25 to life Too late Caught in a chase 25 to life  
Eminem|3 a.m.|"  [Intro] There is no escaping There's no place to hide You scream, ""Someone save me!"" But they don't pay no mind Goodnight, goodbye!  [Verse 1] You're walking down a horror corridor It's almost four in the morning and you're in a Nightmare, it's horrible, right there's the coroner Waiting for you to turn the corner so he can corner ya You're a goner, he's onto ya Out the corner of his cornea, he just saw you run All you want is to rest 'cause you can't run anymore, you're done All he wants is to kill you in front of an audience While everybody is watching in the party, applauding it Here I sit, while I'm caught up in deep thought again Contemplating my next plot again Swallowin' a Klonopin while I'm noddin' in and out on the ottoman At the Ramada Inn, holding onto the pill bottle, then Lick my finger and swirl it 'round the bottom And make sure I got all of it Wake up naked at McDonald's with Blood all over me, dead bodies behind the counter, shit Guess I must've just blacked out again—not again!  [Chorus] It's 3 a.m. in the mornin' Put my key in the door, and Bodies layin' all over the floorin' I don't remember how they got there But I guess I must've killed 'em, killed 'em I said, it's 3 a.m. in the mornin' Put my key in the door, and Bodies layin' all over the floorin' I don't remember how they got there But I guess I must've killed 'em, killed 'em  [Verse 2] Sitting nude in my living room, it's almost noon I wonder what's on the tube, maybe they'll show some boobs Surfing every channel until I find Hannah Montana Then I reach for the aloe and lanolin, bust all over the wall panelin' Dismantlin' every candle on top of the fireplace mantle, and Grab my flannel and my bandana, then Kiss the naked mannequin man again You can see him standin' in my front window if you look in I'm just a hooligan who's used to using hallucinogens Causing illusions again, brain contusions again Cutting and bruising the skin, razors, scissors, and pins Jesus, when does it end? Phases that I go through Dazed and I'm so confused Days that I don't know who gave these molecules to Me, what am I gon' do? Hey, the prodigal son, the diabolical one Very methodical when I slaughter them  [Hook] It's 3 a.m. in the mornin' Put my key in the door, and Bodies layin' all over the floorin' I don't remember how they got there But I guess I must've killed 'em, killed 'em I said, it's 3 a.m. in the mornin' Put my key in the door, and Bodies layin' all over the floorin' I don't remember how they got there But I guess I must've killed 'em, killed 'em  [Bridge] She puts the lotion in the bucket It puts the lotion on the skin Or else it gets the hose again  [Verse 3] I cut and I slash, slice and gash, last night was a blast I can't quite remember when I had that Much fun off a half-pint of the Jack, my last Vic and a half A flashlight up Kim Kardashian's ass I remember the first time I dismembered a family member December, I think it was, I was having drinks with my cousin I wrapped him in Christmas lights Pushed him into the stinkin' tub, cut him up into pieces And just when I went to drink his blood I thought, ""I oughta drink his bath water, that oughta be fun"" That's when my days of serial murder manslaughter begun The sight of blood excites me, that might be an artery, son Your blood-curdlin' screams just don't seem to bother me none It's 3 a.m. and here I come, so you should probably run A secret passageway around here, man, there's got to be one Oh no, there's probably none He can scream all that he wants, top of his lungs But ain't no stopping me from chopping him up-up, 'cause…  [Hook] It's 3 a.m. in the mornin' Put my key in the door, and Bodies layin' all over the floorin' I don't remember how they got there But I guess I must've killed 'em, killed 'em I said, it's 3 a.m. in the mornin' Put my key in the door, and Bodies layin' all over the floorin' I don't remember how they got there But I guess I must've killed 'em, killed 'em  [Outro] Yo, ayo (Evil… rise) Yo, ayo (Evil… rise) Yo, ayo (Evil… rise) Yo, ayo (Evil… rise) (Evil… rise) (Evil… rise)  "
Eminem|3 Verses|"  [Verse 1] I'm the illest rapper to hold a cordless, patrolling corners Looking for hookers to punch in the mouth with a roll of quarters I'm meaner in action than Roscoe beating James Todd, Sr And smackin' his back with vacuum cleaner attachments I grew up in the wild hood as a hazardous youth With a fucked up childhood that I used as an excuse And ain't shit changed but kept the same mindstate Since the third time that I failed 9th grade You probably think that I'm a negative person don't be so sure of it I don't promote violence I just encourage it I laugh at the sight of death as I fall down a cement flight of steps And land inside a bed of spider webs So throw caution to the wind, you and a friend Can jump off of a bridge and if you live, do it again Shit, why not? Blow your brain out, I'm blowing mine out Fuck it, you only live once you might as well die now  [Verse 2] It's only fair to warn, I was born with a set of horns And metaphors attached to my damn umbilical cord Warlord of rap that'll bash you with a 2 by 4 board And smash into your Honda Accord with a 4 door Ford But I'm more towards droppin an acappella that'll chop a fella To Mozzarella, worse than a helicopter propeller Got you locked in the cellar with your skeleton showing Developing anorexia while I'm standing next to ya Eating a full course meal watching you starve to death With an IV in your veins feeding you liquid darvocet Pumping you full of drugs, pull the plugs On the gunshot victims full of bullet slugs Who were picked up in an ambulance and driven To receiving with the asses ripped out of they pants and given A less than 20 percent chance of living Have a possible placement, it's a hospital patient Storing the dead bodies in grandma's little basement Doctor Kevorkian has arrived To perform an autopsy on you while you scream ""I'M STILL ALIVE!"" Driving a rusty scalpel in through the top of your scalp And pulling your Adam's apple out through your mouth Better call the fire department, I've hired an arson To set fire to carpets and burn up your entire apartment I'm a liar to start shit Got your bitch wrapped around my dick So tight, you need a crobar to pry her apart with  [Verse 3] Met a retarded kid named Greg with a wooden leg Snatched it off and beat him over the fucking head with the peg Go to bed with the keg, wake up with the 40 Mix it with Alka Seltzer and Formula 44D Fuck an acid tab, I'll strap the whole sheet to my forehead Wait until it absorbed in and fell to the floor dead No more said, case closed, end of discussion I'm blowing up like spontaneous human combustion Leaving you in the aftermath of holocaust and traumas Cross the bombers? We blowing up your house killing your parents And coming back to get your foster mommas And I'm as good at keeping a promise as Nostradamus Cause I ain't making no more threats I'm doing drive-bys in tinted Corvettes on Vietnam war vets I'm more or less sick in the head Maybe more cause I smoked crack today, yesterday and the day before Saboteur, walk the block with a labrador Strapped with more corral for war than El Salvador Foul style galore, verbal cow manure Coming together like an eyebrow on Al B. Sure!  "
Eminem|4 Verses|"  [Verse 1] (Aight, aight...Uh...Slim Shady...Yo, yo, yo...) It's only fair to warn, I was born with a set of horns And metaphors attached to my damn umbilical cord Warlord of rap that'll bash you with a two by four board And smash into your Honda Accord with a 4-door Ford But I'm more toward droppin' an acapella To chop a fella into mozzarella worse than a helicopter propeller Got you locked in the cellar with your skeleton showing Developing anorexia while I'm standin' next to ya Eating a four course meal, watching you starve to death With an IV in your veins, feeding you liquid Darvocet Pumping you full of drugs Pull the plugs On the gunshot victims full of bullet slugs Who were picked up in an ambulance And driven To receiving with the asses ripped outta they pants And given A less than 20 percent chance Of living Have a possible placement As a hospital patient Storing the dead bodies in grandma's little basement Doctor Kevorkian has arrived To perform an autopsy on you while you scream ""I'M STILL ALIVE!"" Driving a rusty scalpel in through the top of your scalp, and Pullin' your Adam's apple out through your mouth Better call the fire department I've hired a arson To set fire to carpet And burn up your entire apartment I'm a liar to start shit Got your bitch wrapped around my dick So tight you need a crowbar to pry her apart with Motherfucker, Slim Shady bitch! Recognize!  [Verse 2] Met a retarded kid named Greg, with a wooden leg Snatched it off and beat him over the fucking head with the peg Go to bed with the keg, wake up with the 40 Mixed it with Alka-Seltzer and Formula 44D Fuck an acid tab, I'll strap the whole sheet to my forehead Wait until it absorbed in, and fell to the floor dead No more said, case closed, end of discussion I'm blowin' up like spontaneous human combustion Leaving you in the aftermath of holocaust and traumas Cross the bombers We blowin' up your house, killing your parents And coming back to get your foster mommas And I'm as good at keeping a promise as Nostradamus Cause I ain't making no more threats I'm doin' drive-by's in tinted Corvettes on Vietnam war vets I'm more or less sick in the head Maybe more cause I smoked crack Today, yesterday, and the day before Saboteur, walk the block with a Labrador Strappin' more corral for war than El Salvador Foul style galore Verbal cow manure Comin' together like the eyebrow on Al B. Sure! Motherfucker!  [Verse 3] (Like this, like that, like this Like this, like that, like this) I'm the illest rapper to hold a cordless, patrolling corners Looking for hookers to punch in the mouth with a roll of quarters I'm meaner in action than Roscoe beating James Todd Sr And smackin' his back with vacuum cleaner attachments I grew up in a wild hood As a hazardous youth With a fucked up childhood That I used as an excuse And ain't shit changed I kept the same mindstate Since the third time that I failed 9th grade You probably think that I'm a negative person, don't be so sure of it I don't promote violence, I just encourage it I laugh at the sight of death As I fall down a cement flight of steps And land inside a bed of spider webs So throw caution to the wind You and a friend Can jump off of a bridge, and if you live, do it again Shit, why not? Blow your brain out I'm blowing mine out Fuck it, you only live once, you might as well die now  [Verse 4] Yo, yo, yo! My mom sent me up to the store with a food stamp For a pack of cigarettes and a book at the news stand (here) Two dudes ran up and jumped out of a blue van I looked down at the ground and picked up a huge branch I swung it at the first dude, the other one with him Seen it snap so fast, it looked like it broke before it hit him So he tried to rush, I swept his legs, pinned him, and bit him He came back with 6 or 7 dudes screaming ""GET HIM!"" I grabbed one,  lit him on fire, pinned, and bit him The next faggot gave me his shoes like they didn't fit him One by one I just kept dropin' 'em in a rhythm Then I woke up swingin' the middle of the kitchen  (Damn... damn... damn...)  "
Eminem|8 Mile|  [Verse 1] Sometimes I just feel like quittin', I still might Why do I put up this fight? Why do I still write? Sometimes it's hard enough just dealin' with real life Sometimes I wanna jump on stage and just kill mics And show these people what my level of skill's like But I'm still white, sometimes I just hate life Somethin' ain't right, hit the brake lights Case of the stage fright, drawin' a blank like Da-duh-duh-da-da, it ain't my fault Great big eyeballs, my insides crawl And I clam up {​*wham*},​ I just slam shut I just can't do it, my whole manhood's Just been stripped, I have just been vicked So I must then get off the bus, then split Man, fuck this shit, yo I'm goin' the fuck home World on my shoulders as I run back to this 8 Mile Road  [Hook] I'm a man, I'ma make a new plan Time for me to just stand up and travel new land Time to really just take matters into my own hands Once I'm over these tracks, man, I'ma never look back (8 Mile Road) And I'm gone, I know right where I'm goin' Sorry, Momma, I'm grown, I must travel alone Ain't gon' follow no footsteps, I'm makin' my own Only way that I know how to escape from this 8 Mile Road  [Verse 2] I'm walkin' these train tracks, tryin' to regain back The spirit I had 'fore I go back to the same crap To the same plant, in the same pants Tryin' to chase rap, gotta move ASAP And get a new plan, Momma's got a new man Poor little baby sister, she don't understand Sits in front of the TV, buries her nose in the pad And just colors until the crayon gets dull in her hand While she colors her big brother and mother and dad Ain't no tellin' what really goes on in her little head Wish I could be the daddy that neither one of us had But I keep runnin' from somethin' I never wanted so bad Sometimes I get upset, ‘cause I ain't blew up yet It's like I grew up, but I ain't grow me two nuts yet Don't gotta rep my step, don't got enough pep The pressure's too much, man, I'm just tryin' to do what's best And I try, sit alone and I cry Yo, I won't tell no lie, not a moment goes by That I don't pray to the sky, please, I'm beggin' you, God Please don't let me be pigeonholed in no regular job Yo, I hope you can hear me, homie, wherever you are Yo, I'm tellin' you, dawg, I'm bailin' this trailer tomorrow Tell my mother I love her, kiss baby sister goodbye Say whenever you need me, baby, I'm never too far But yo, I gotta get out there, the only way I know And I'ma be back for you the second that I blow On everything I own, I'll make it on my own Off to work I go back to this 8 Mile Road  [Hook] I'm a man, gotta make a new plan Time for me to just stand up and travel new land Time to really just take matters into my own hands Once I'm over these tracks, man, I'ma never look back (8 Mile Road) And I'm gone, I know right where I'm goin' Sorry, Momma, I'm grown, I must travel alone Ain't gon' follow no footsteps, I'm makin' my own Only way that I know how to escape from this 8 Mile Road  [Verse 3] You gotta live it to feel it; you didn't, you wouldn't get it Or see what the big deal is, why it was and it still is To be walkin' this borderline of Detroit city limits It's different, it's a certain significance, a certificate Of authenticity, you'd never even see But it's everything to me, it's my credibility You never seen, heard, smelled or met a real MC Who's incredible upon the same pedestal as me But yet I'm still unsigned, havin' a rough time Sit on the porch with all my friends and kick dumb rhymes Go to work and serve MC's in the lunchline But when it comes crunch time, where do my punchlines go? Who must I show to bust my flow? Where must I go? Who must I know? Or am I just another crab in the bucket? ‘Cause I ain't havin' no luck with this little Rabbit, so fuck it Maybe I need a new outlet, I'm startin' to doubt shit I'm feelin' a little skeptical who I hang out with I look like a bum yo, my clothes ain't about shit At the Salvation Army tryin' to salvage an outfit And it's cold, tryin' to travel this road Plus I feel like I'm always stuck in this battlin' mode My defenses are so up, but one thing I don't want Is pity from no one, this city is no fun There is no sun, and it's so dark Sometimes I feel like I'm just bein' pulled apart From each one of my limbs, by each one of my friends It's enough to just make me wanna jump out of my skin Sometimes I feel like a robot, sometimes I just know not What I'm doin', I just blow, my head is a stove top I just explode, the kettle gets so hot Sometimes my mouth just overloads the ass that I don't got But I've learned, it's time for me to U-turn Yo, it only takes one time for me to get burned Ain't no fallin' no next time I meet a new girl I can no longer play stupid or be immature I got every ingredient, all I need is the courage Like I already got the beat, all I need is the words Got the urge, suddenly it's a surge Suddenly a new burst of energy has occurred Time to show these Free World leaders the 3 and a third I am no longer scared now, I'm free as a bird Then I turn and cross over the median curb Hit the 'burbs and all you see is a blur from 8 Mile Road  [Hook] I'm a man, gotta make a new plan Time for me to just stand up and travel new land Time to really just take matters into my own hands Once I'm over these tracks, man, I'ma never look back (8 Mile Road) And I'm gone, I know right where I'm goin' Sorry, Momma, I'm grown, I must travel alone Ain't gon' follow no footsteps, I'm makin' my own Only way that I know how to escape from this 8 Mile Road  
