Artist|Title|Lyrics
Nicki Minaj|Feeling Myself|"  [Intro: Nicki Minaj] Yo B, they ready Let's go  [Hook: Beyoncé] Feelin' myself, I'm feelin' myself, I'm feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my  [Verse 1: Nicki Minaj] I'm with some hood girls lookin' back at it And a good girl in my tax bracket Got a black card that'll let Saks have it These Chanel bags is a bad habit I-I do balls, Dal Mavericks My Maybach, black matted Bitch, never left but I'm back at it And I'm feelin' myself, jack rabbit Feelin' myself, back off 'Cause I'm feelin' myself, jack off He be thinking about me when he whacks off Wax on? Wax off National anthem, hats off Then I curve that nigga, like a bad toss Lemme get a number two, with some Mac sauce ""On The Run Tour"", with my mask off  [Hook: Beyoncé] I'm feelin' myself, I'm feelin' myself, I'm feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my  [Post-Hook: Beyoncé] Changed the game with that digital drop Know where you was when that digital popped I stopped the world Male or female, it make no difference I stop the world, world stop… Carry on  [Verse 2: Nicki Minaj] Kitty on fleek, pretty on fleek Pretty gang always keep them niggas on geek Ridin'-ridin' through Texas, feed him for his breakfast Everytime I whip it, I be talkin' so reckless He said ""Damn Nicki it's tight,"" I say ""Yeah nigga you right"" He said ""Damn, bae, you so little, but you be really takin' that pipe"" I said ""Yes daddy I do, gimme brain like NYU"" I said ""Teach me, nigga, teach me. All this learnin' here is by you""  [Pre-Hook: Beyoncé] (Moans) Uhn! I'm whippin' that work, he diggin' that work I got it, 36 of that real Panky full of that bounce baby Come get you some of that bounce baby  [Hook: Beyoncé] I'm feelin' myself, I'm feelin' myself, I'm feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my Feelin' myself, I'm feelin' myself, I'm feelin' my  [Bridge: Nicki & Beyoncé] Cookin' up that base, lookin' like a kilo He just wanna taste, biggin' up my ego (Ego, ego, ego, ego, ego, ego, ego, ego) Ridin' through Texas, ridin' through Texas Smoke it all off, talkin' bout that high-grade Baby hold up, I can kill your migraine (Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine) Ridin' through Texas, ridin' through Texas  [Verse 3: Nicki Minaj] Bitches ain't got punchlines or flow I have both and an empire also Keep gettin' gifts from Santa Claus at the North Pole Today I'm icy, but I'm prayin' for some more snow Let that ho ho, let that ho know -- he in love with that coco Why these bitches don't never be learnin'? You bitches will never get what I be earnin' I'm still gettin' plaques, from my records that's urban Ain't gotta rely on top 40,I am a Rap legend Just go ask the Kings of Rap, who is the Queen and things of that Nature? Look at my finger, that is a glacier, hits like a laser Drippin' on that work, trippin' off that perc Flippin' up my skirt and I be whippin' all that work Takin' trips with all them ki's, car keys got B's Stingin' with the Queen Bey and we be whippin' all of that D Cause we dope girls we flawless, we the poster girls for all this We run around with them ballers, only real niggas in my call list I'm the big kahuna, go let them whores know Just on this song alone, bitch is on her fourth flow  [Outro: Nicki Minaj] Rrrrrrrrrr! You like it don't you? Snitches! Young Money  "

Nicki Minaj|Only|"  [Verse 1: Nicki Minaj] Yo, I never fucked Wayne, I never fucked Drake On my life, man, fuck's sake If I did, I'd ménage with 'em And let 'em eat my ass like a cupcake My man full, he just ate I don't duck nobody but tape Yeah, that was a setup For a punchline on duct tape Worried 'bout if my butt fake Worry 'bout y'all niggas, us straight Th-these girls are my sons Jo-John & Kate Plus Eight When I walk in, sit up straight I don't give a fuck if I was late Dinner with my man on a G5 Is my idea of a update Hut-hut one, hut-hut two Big titties, big butt too Fu-fuck with them real niggas Who don't tell niggas what they up to Had to show bitches where the top is Ri-ring finger where the rock is The-these hoes couldn't test me Even if their name was Pop Quiz Bad bitches who I fuck with Ma-ma-mad bitches we don't fuck with I don't fuck with them chickens Unless they last name is Cutlet Let it soak in Like seasoning And tell them bitches blow me: Lance Stephenson  [Chorus: Chris Brown] Raise every bottle and cup in the sky Sparks in the air like the Fourth of July Nothing but bad bitches in here tonight Oh, if you lame and you know it, be quiet Nothing but real niggas only, bad bitches only Rich niggas only, independent bitches only Boss niggas only, thick bitches only I got my real niggas here by my side, only  [Verse 2: Drake] Yeah, I never fucked Nicki 'cause she got a man But when that's over, then I'm first in line And the other day in her Maybach I thought, ""Goddamn, this is the perfect time"" We had just come from that video You know, L.A. traffic, how the city slow She was sitting down on that big butt But I was still staring at the titties though Yeah, low-key or maybe high-key I been peeped that you like me, you know? Who the fuck you really wanna be with besides me? I mean, it doesn't take much for us to do this shit quietly I mean, she say I'm obsessed with thick women and I agree Yeah, that's right, I like my girls BBW Yeah, type that wanna suck you dry and then eat some lunch with you Yeah, so thick that everybody else in the room is so uncomfortable Ass on Houston Texas, but the face look just like Clair Huxtable Oh, yeah, you the man in the city when the mayor fuck with you The NBA players fuck with you, the bad-ass bitches doing makeup and hair fuck with you Oh, that's 'cause I believe in something, I stand for it And Nicki if you ever tryna fuck, just give me the heads-up, so I can plan for it (Pinkprint, ayy)  [Chorus: Chris Brown] Raise every bottle and cup in the sky Sparks in the air like the Fourth of July Nothing but bad bitches in here tonight Oh, if you lame and you know it, be quiet Nothing but real niggas only, bad bitches only Rich niggas only, independent bitches only Boss niggas only, thick bitches only I got my real niggas here by my side, only  [Verse 3: Lil Wayne] I never fucked Nick' and that's fucked up If I did fuck, she'd be fucked up Whoever is hittin' ain't hittin' it right 'Cause she act like she need dick in her life That's another story, I'm no story-teller I piss greatness, like goldish yellow All my goons so overzealous I'm from Hollygrove, the holy Mecca Calendar say I got money for days I squirm and I shake, but I'm stuck in my ways My girlfriend will beat a bitch up if she waved They bet' not fuck with her surfboard, surfboard My eyes are so bright, I take cover for shade Don't have my money? Take mothers instead You got the hiccups, you swallowed the truth Then I make you burp, boy, treat beef like sirloin I'm talkin' 'bout runnin' in houses with army guns So think about your son and daughter rooms Got two hoes with me, messed up, they got smaller guns Ain't thinkin' 'bout your son and daughter rooms This shit is crazy, my nigga I been praising, my nigga that money talk I just rephrase it, my nigga Blood gang, take the ""b"" off behavior, my nigga For reals, if you mouth off, I blow your face off I mean pop-pop-pop then I take off Nigga, now you see me, nigga, now you don't Like Jamie Foxx acting like Ray Charles 16 in a clip, one in the chamber 17 Ward bully with 17 bullets My story is how I went from ""poor me"" To ""please pour me a drink and celebrate with me""  [Chorus: Chris Brown] Raise every bottle and cup in the sky Sparks in the air like the Fourth of July Nothing but bad bitches in here tonight Oh, if you lame and you know it, be quiet Nothing but real niggas only, bad bitches only Rich niggas only, independent bitches only Boss niggas only, thick bitches only I got my real niggas here by my side, only  "

Nicki Minaj|Truffle Butter|"  [Verse 1: Drake] Uh, thinkin' out loud I must have a quarter million on me right now Hard to make a song 'bout somethin' other than the money Two things I'm about is talkin' blunt and staying blunted Pretty women, are you here? Are you here right now, huh? We should all disappear right now Look, you're gettin' all your friends and you're gettin' in the car And you're comin' to the house, are we clear right now, huh? You see the fleet of all the new things Cop cars with the loose change All white like I move things Niggas see me rollin' and they mood change Like a muhfucka New flow, I got a dozen of 'em I don't trust you, you a undercover I could probably make some step-sisters fuck each other (woo) Talkin' filets with the truffle butter Fresh sheets and towels, man she gotta love it Yeah, they all get what they desire from it What, tell them niggas we ain't hidin' from it  [Verse 2: Nicki Minaj] Yo, thinkin' out loud I must have about a milli on me right now And I ain't talkin' about that Lil Wayne record I'm still the highest sellin' female rapper, for the record Man, this a 65 million single sold I ain't gotta compete with a single soul I'm good with the ballpoint game, finger roll Ask me how to do it, I don't tell a single soul Pretty women, wassup? Is you here right now? You a stand-up or is you in your chair right now? Uhh, do you hear me? I can't let a wack nigga get near me I might kiss the baddest bitch if you dare me I ain't never need a man to take care of me Yo, I'm in that big boy, bitches can't rent this I floss everyday, but I ain't a dentist Your whole style and approach, I invented And I ain't takin' that back, cause I meant it  [Verse 3: Lil Wayne] Uh, thinkin' out loud I could be broke and keep a million dollar smile LOL to the bank, check in my account Bank teller flirtin' after checkin' my account Pretty ladies, are you here? Truffle butter on your pussy Cuddle buddies on the low You ain't gotta tell your friend That I eat it in the morning Cause she gonna say ""I know"" Can I hit it in the bathroom? Put your hands on the toilet I'll put one leg on the tub Girl, this my new dance move I just don't know what to call it But bitch you dancing with the stars I ain't nothin' like your last dude What's his name? — Not important I brought some cocaine if you snortin' She became a vacuum Put it on my dick like carpet Suck the white off white chocolate I'm so heartless, thoughtless Lawless, and flawless Smallest, regardless Largest in charge And born in New Orleans Get killed for Jordans Skateboard, I'm gnarly Drake, Tunechi, and Barbie You know!  [Produced by Nineteen85]  "

Nicki Minaj|Beez In The Trap|"  [Hook: Nicki Minaj] Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap  [Verse 1: Nicki Minaj] Man I been did that, man I been popped off And if she ain't trying to give it up she get dropped off Let me bust that U-ie, bitch bust that open Might spend a couple thou' just to bust that open Rip it off no joking, like your name Hulk Hogan Niggas move weight in the South but live in Hoboken Bitch, I spit that crack, like I'm in that trap So if you need a hit then I'm with that bat  [Hook: Nicki Minaj] Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap  [Verse 2: 2 Chainz] Okay now Nicki, Nicki, Nicki, put it in your kidney Got a new LS 450, ain't no keys in this do-hicky If I weren't rapping I'd be trapping If I weren't trapping I'd be pimping If I weren't pimping I'd be getting it, period I don't smoke no bobby, but my denim be from ricky Got your girl on molly and we smokin' loud and drinkin' Got my top back so you can see what I been thinkin' If you know me then you know I've been thinking Franklin Money, thousands, True Religion trousers Got a private home, started from them public houses Hair weave killer, causing her arousal Audi A8, told them ""outtie 5000,"" uh  [Hook: Nicki Minaj] Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap  [Bridge: Nicki Minaj] Damn, damn what they say about me? I don't know man, fuck is on your biscuit If I get hit, swinging on a big bitch I don't know man, I'm shittin' on your whole life Damn, damn what they say about me? I don't know man, fuck is on your biscuit If I get hit, swinging on a big bitch I don't know man, I'm shittin' on your whole life  [Hook: Nicki Minaj] Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap  [Verse 3: Nicki Minaj] Man I'm out in Texas, man, I'm out in A-town Then I'm up in Chi-town or Miami shuttin' it down It's that New Orleans, it's LA or The Bay It's New York, Philly, and the whole DMV I'm a Detroit Player, man it's North-South Cack Ohio, Pittsburgh, got St. Louis on deck It's Delaware, Connecticut, it's New Jersey got hella bricks It's Queens, Brooklyn, and yeah, they wildin' Bronx, Harlem, and Staten Island  [Hook: Nicki Minaj] Bitches ain't shit and they ain't sayin' nothing A hundred motherfuckers can't tell me nothing I beez in the trap, bee beez in the trap I beez in the trap, bee beez in the trap  [Bridge: Nicki Minaj] Damn, damn what they say about me? I don't know man, fuck is on your biscuit If I get hit, swinging on a big bitch I don't know man, I'm shittin' on your whole life  "

Nicki Minaj|Lookin Ass (Lookin Ass Nigga)|"  [Intro: Nicki MInaj] Look at y'all niggas... Niggas Look at y'all niggas... Niggas  [Verse 1: Nicki MInaj] Look at y'all smokin' ass niggas After every pull, niggas start chokin' ass niggas Nigga-nigga Look at y'all bitch ass niggas Stop lyin' on your dick ass niggas Nigga-nigga Look at y'all lookin' ass niggas Stop lookin' at my ass ass niggas Look at y'all lyin' ass niggas Talkin' 'bout ""It's paid off"" but it's financed, lyin' ass nigga Bunch of non-mogul ass niggas Frontin' like they got a plan, Boost Mobile ass nigga Nigga, nigga, look at y'all Can't get a job so you plottin' how to rob ass niggas I ain't gotta check for y'all But if I'ma check for y'all, I'ma need a check from y'all niggas I don't want sex, give a fuck about your ex I don't even want a text from y'all niggas I'm rapin' you niggas Look at this pic, look what the fuck I gave to you niggas Ain't feelin' these niggas Niggas want my time, call me Clinton, I'm billin' these niggas  [Hook: Parker Ighile] All I know is there should be no reason All I know is there should be no reason All I, all I know is there should be All I know All I, all I know is there should be no reason All I know, you know it, and you know it Look at what, reason  [Verse 2: Nicki MInaj] Look at y'all sharin' one bottle in the club One bottle full of bub' ass niggas Look at y'all not havin' game ass niggas Y'all niggas share a chain ass niggas Same cup in the hand ass nigga In the club with a credit card scam ass nigga No dick in the pants ass nigga I be damned if I fuck a non-man ass nigga I will, I will, I will never fuck a non-man ass nigga I would never lie Even if that nigga flew me and my bitches all the way out to Dubai Pussy, you tried, pussy ass nigga you lie Pussy ass nigga, you high Bitch I'm me, hundred on the wrist, I ski Art on the wall, Basqui, fuck who see Look at you fake dope dealers Know real niggas that be movin' weight in them villas Talkin' 'bout ki's, say it's ki's in the van But he really move grams and he split it with his mans  [Hook: Parker Ighile] All I know is there should be no reason All I know is there should be no reason All I, all I know is there should be All I know All I, all I know is there should be no reason All I know, you know it, and you know it Look at what, reason  "

